"periodo","Turistas_var","TCR_var","Salario_var","PIB","PIB_var","cepo"
2013-01-01,-0.406195552901057,-0.163153786104606,0.190829461184862,2,0.02,1
2013-02-01,-0.450618810078056,-0.175,0.209536473947282,2.1,0.021,1
2013-03-01,-0.453847752142094,-0.10882800608828,0.173251631963031,2.2,0.022,1
2013-04-01,-0.618346444043251,-0.067484662576687,0.144028334731347,2.433333333,0.02433333333,1
2013-05-01,-0.387248082171448,-0.00934579439252328,0.0976301592008834,2.666666667,0.02666666667,1
2013-06-01,-0.231456891724507,-0.0363336085879439,0.123911308855273,2.9,0.029,1
2013-07-01,-0.16657657474149,-0.0869191049913941,0.165694094717338,2.933333333,0.02933333333,1
2013-08-01,-0.096372583720775,-0.120781527531084,0.191867204476132,2.966666667,0.02966666667,1
2013-09-01,-0.123062889150131,-0.0777113578138344,0.160562138815945,3,0.03,1
2013-10-01,-0.0576808665513005,-0.0403292181069959,0.128534806926947,3,0.03,1
2013-11-01,-0.0665050716545116,-0.0686106346483705,0.149794033286867,3,0.03,1
2013-12-01,0.0695563434932002,-0.0559322033898305,0.137769353462801,3,0.03,1
2014-01-01,0.0321231228127703,-0.0166666666666666,0.104504820836932,3.066666667,0.03066666667,1
2014-02-01,-0.219927147931952,0.0149253731343284,0.0758222337962352,3.133333333,0.03133333333,1
2014-03-01,0.27195388375928,0.0142535633908478,0.076487681155492,3.2,0.032,1
2014-04-01,0.279774232221686,0.0467836257309942,0.0409789987865375,2.833333333,0.02833333333,1
2014-05-01,0.206136578340043,0.051698670605613,0.0320320658477709,2.466666667,0.02466666667,1
2014-06-01,-0.0553188537082024,0.0949177877429,-0.018318234814604,2.1,0.021,1
2014-07-01,-0.0886668109799827,0.122356495468278,-0.0519400432949095,1.8,0.018,1
2014-08-01,0.187645612100654,0.131842713955281,-0.0652212941349232,1.5,0.015,1
2014-09-01,0.0816357163482092,0.061698717948718,0.0127736076883596,1.2,0.012,1
2014-10-01,0.109596486943247,-0.0305343511450381,0.102868681927981,0.966666667,0.00966666667,1
2014-11-01,0.0416864604082886,-0.0355239786856128,0.108905138009762,0.733333333,0.00733333333,1
2014-12-01,0.0242735905886016,-0.0936051899907321,0.15783873845824,0.5,0.005,1
2015-01-01,0.0501196343047854,-0.163434903047091,0.206191019427113,0.1,0.001,1
2015-02-01,0.227239934955772,-0.315014720314033,0.295791600911253,-0.3,-0.003,1
2015-03-01,-0.414045482077739,-0.453653217011996,0.361270205715907,-0.7,-0.007,1
2015-04-01,-0.220049380327308,-0.446088794926004,0.359499625985658,-0.9,-0.009,1
2015-05-01,-0.262901173820794,-0.438894792773645,0.357853744592583,-1.1,-0.011,1
2015-06-01,-0.0811481751953267,-0.448051948051948,0.36343966780263,-1.3,-0.013,1
2015-07-01,-0.104524213062607,-0.479329608938548,0.37461520376766,-1.6,-0.016,1
2015-08-01,-0.35540220845521,-0.587515299877601,0.41511148803471,-1.9,-0.019,1
2015-09-01,-0.267613826911741,-0.702592087312415,0.452669775561603,-2.2,-0.022,1
2015-10-01,-0.454437684857042,-0.591093117408907,0.413386011648667,-2.633333333,-0.02633333333,1
2015-11-01,-0.521142954749725,-0.477690288713911,0.367373672470399,-3.066666667,-0.03066666667,1
2015-12-01,-0.653575266990539,-0.269411764705882,0.262426012198623,-3.5,-0.035,1
2016-01-01,-0.775019928547302,-0.144820295983087,0.182619581106119,-3.8,-0.038,0
2016-02-01,-0.825019152013493,0.00293542074363989,0.0620125398935933,-4.1,-0.041,0
2016-03-01,-0.482318576777321,0.150139017608897,-0.09985735034019,-4.4,-0.044,0
2016-04-01,-0.260619494778741,0.0921305182341651,-0.0356055948713218,-4.466666667,-0.04466666667,0
2016-05-01,-0.0684042856055144,0.0494949494949495,0.00510756247974794,-4.533333333,-0.04533333333,0
2016-06-01,-0.0952667198607672,0.0694864048338368,-0.0221157612100186,-4.6,-0.046,0
2016-07-01,-0.0487578062337396,0.165111940298507,-0.132196523930291,-4.433333333,-0.04433333333,0
2016-08-01,0.0239155107327192,0.245614035087719,-0.245394140678672,-4.266666667,-0.04266666667,0
2016-09-01,0.0608731517872172,0.323176361957525,-0.37974235338508,-4.1,-0.041,0
2016-10-01,0.149979043644806,0.322049405306496,-0.375635247894324,-3.833333333,-0.03833333333,0
2016-11-01,0.210507646507715,0.265188042430087,-0.267526978257724,-3.566666667,-0.03566666667,0
2016-12-01,0.244140621036231,0.193548387096774,-0.153430436992842,-3.3,-0.033,0
2017-01-01,0.168370103429906,0.139217470427662,-0.0848896765580369,-2.833333333,-0.02833333333,0
2017-02-01,0.115705868862594,0.0641025641025641,-0.00167927457328357,-2.366666667,-0.02366666667,0
2017-03-01,0.366247459285023,-0.0188857412653447,0.0764107269187592,-1.9,-0.019,0
2017-04-01,0.13532316446059,-0.0235756385068763,0.0777094510201226,-1.566666667,-0.01566666667,0
2017-05-01,0.127986869202232,0.0149253731343284,0.0386026023263744,-1.233333333,-0.01233333333,0
2017-06-01,0.154531284475709,-0.00404448938321528,0.0537529390374055,-0.9,-0.009,0
2017-07-01,0.188938338581946,-0.0018691588785047,0.0468251987602661,-0.533333333,-0.00533333333,0
2017-08-01,0.0707569647833899,0.00642201834862388,0.0339798979493336,-0.166666667,-0.00166666667,0
2017-09-01,0.112675627851104,-0.0149953139643861,0.0495976784309333,0.2,0.002,0
2017-10-01,0.143494689745913,-0.0449330783938815,0.0769845933538871,0.566666667,0.00566666667,0
2017-11-01,0.1098459707072,-0.0226824457593688,0.0570618897701817,0.933333333,0.00933333333,0
2017-12-01,0.17434001920603,-0.0561122244488979,0.0870623157487507,1.3,0.013,0
2018-01-01,0.178634814354678,-0.0194805194805196,0.0535558889502774,1.4,0.014,0
2018-02-01,0.21035274748248,-0.000916590284143066,0.0352955819993249,1.5,0.015,0
2018-03-01,-0.204909975391347,0.0176252319109461,0.0163766100103395,1.6,0.016,0
2018-04-01,0.0779273453081577,-0.00295566502463051,0.0420933137023371,1.6,0.016,0
2018-05-01,-0.00256398333691754,0.0762867647058823,-0.0341206316164863,1.6,0.016,0
2018-06-01,-0.0230068338962701,0.144463667820069,-0.110140180500141,1.6,0.016,0
2018-07-01,0.0708546719208163,0.0735930735930736,-0.0232552548941585,1.6,0.016,0
2018-08-01,0.11505770803371,0.0739167374681394,-0.0216699694630965,1.6,0.016,0
2018-09-01,0.0632309161911556,0.228488792480116,-0.224048552550789,1.6,0.016,0
2018-10-01,-0.00179144421569123,0.238719068413392,-0.241194421275175,1.5,0.015,0
2018-11-01,0.144336352385267,0.215170278637771,-0.204622937583178,1.4,0.014,0
2018-12-01,0.198236413323717,0.214173228346457,-0.203758869206149,1.3,0.013,0
2019-01-01,0.318380875102915,0.150512214342002,-0.115298427184395,1.233333333,0.01233333333,0
2019-02-01,0.115273401692712,0.143642072213501,-0.108069389407813,1.166666667,0.01166666667,0
2019-03-01,0.43285434951317,0.1578125,-0.128443500938628,1.1,0.011,0
2019-04-01,0.174159037384896,0.205790297339593,-0.20151919244413,1.1,0.011,0
2019-05-01,0.250863622407293,0.135135135135135,-0.107869882379672,1.1,0.011,0
2019-06-01,0.23532485656479,0.0632090761750406,-0.0269736782716849,1.1,0.011,0
2019-07-01,0.0979581166954959,0.0358931552587646,-0.000736926707333058,1.066666667,0.01066666667,0
2019-08-01,0.0886440143740754,0.122950819672131,-0.103207881013241,1.033333333,0.01033333333,0
2019-09-01,0.0494739833732753,-0.0214180206794683,0.0500359584149337,1,0.01,0
2019-10-01,0.0437217892416094,-0.0155210643015521,0.0461158682503018,1.033333333,0.01033333333,0
2019-11-01,-0.0635503303749825,0.0159939070830162,0.0171943668756359,1.066666667,0.01066666667,0
2019-12-01,-0.00544811842720252,0.0155038759689922,0.0192932536962988,1.1,0.011,0
2020-01-01,-0.0955283994221644,-0.0127693535514765,0.0505461181188116,1.033333333,0.01033333333,0
2020-02-01,0.140922923641572,-0.0634390651085143,0.0994086267348637,0.966666667,0.00966666667,0
